"local.rt.mean","local.rt.lower","local.rt.upper","date"
2.467903551,1.547599574,4.211173073,"24/01/2020"
2.396845092,1.564305734,4.148115252,"25/01/2020"
2.288319498,1.553964982,3.864674796,"26/01/2020"
2.161116756,1.521295998,3.584250681,"27/01/2020"
2.006238836,1.441201759,3.25882975,"28/01/2020"
1.80687915,1.361384777,2.884800795,"29/01/2020"
1.614089677,1.245420411,2.54461451,"30/01/2020"
1.419484532,1.075799636,2.139599151,"31/01/2020"
1.223451688,0.888667463,1.797606512,"01/02/2020"
1.02811858,0.732928548,1.463072975,"02/02/2020"
0.859248985,0.599319275,1.196898925,"03/02/2020"
0.75036481,0.493670582,1.069629593,"04/02/2020"
0.678496447,0.451174002,0.95673112,"05/02/2020"
0.63342807,0.423431018,0.907981072,"06/02/2020"
0.596044121,0.361262355,0.863066469,"07/02/2020"
0.571358117,0.35177025,0.849283261,"08/02/2020"
0.587468137,0.358914537,0.838331059,"09/02/2020"
0.606313903,0.392010793,0.87810195,"10/02/2020"
0.585520284,0.384437714,0.85552304,"11/02/2020"
0.554820619,0.339800773,0.810771191,"12/02/2020"
0.542315447,0.319266571,0.789316132,"13/02/2020"
0.543120289,0.276940675,0.774643242,"14/02/2020"
0.546464992,0.237268933,0.77876065,"15/02/2020"
0.527246203,0.212039906,0.801664972,"16/02/2020"
0.516679694,0.200763534,0.807407073,"17/02/2020"
0.53317422,0.186152022,0.81322852,"18/02/2020"
0.541425286,0.1811366,0.823063763,"19/02/2020"
0.572710809,0.246114315,0.868154673,"20/02/2020"
0.589137275,0.171665671,0.951955227,"21/02/2020"
0.633867011,0.164056448,0.943845617,"22/02/2020"
0.685402861,0.109488125,1.005011839,"23/02/2020"
0.740356565,0.111743082,1.103628514,"24/02/2020"
0.816273302,0.096148075,1.257676854,"25/02/2020"
0.880458737,0.124316414,1.428428021,"26/02/2020"
0.942681651,0.163000134,1.478676332,"27/02/2020"
0.952782682,0.162651048,1.472769852,"28/02/2020"
0.914994024,0.185143771,1.462223548,"29/02/2020"
0.894556018,0.194929057,1.413609961,"01/03/2020"
0.869208599,0.29003403,1.362415867,"02/03/2020"
0.85396853,0.279884005,1.414867535,"03/03/2020"
