data.onset,imported.rt.mean,imported.rt.lower,imported.rt.upper
18/1/2020,NA,NA,NA
19/1/2020,NA,NA,NA
20/1/2020,NA,NA,NA
21/1/2020,NA,NA,NA
22/1/2020,NA,NA,NA
23/1/2020,NA,NA,NA
24/1/2020,NA,NA,NA
25/1/2020,NA,NA,NA
26/1/2020,NA,NA,NA
27/1/2020,0.703514725,0.123669916,3.741898454
28/1/2020,0.751884412,0.147186333,4.00103061
29/1/2020,0.790296132,0.17459113,4.161243884
30/1/2020,0.811509501,0.161241456,3.950647349
31/1/2020,0.812311208,0.200621918,3.192643549
1/2/2020,0.868169499,0.232178005,2.998853531
2/2/2020,0.901706729,0.249284136,2.995842459
3/2/2020,0.880364818,0.260185207,3.316900276
4/2/2020,0.923411769,0.281730724,3.057730238
5/2/2020,0.958321622,0.286094933,3.521454475
6/2/2020,0.937128029,0.282226394,3.805499719
7/2/2020,0.977720237,0.28875962,3.790428142
8/2/2020,1.041582225,0.350020632,3.634274759
9/2/2020,1.106213564,0.43031321,4.015736173
10/2/2020,1.226362437,0.396746453,4.942958673
11/2/2020,1.326153136,0.443700523,5.273543888
12/2/2020,1.462672498,0.422075423,5.715770379
13/2/2020,1.59166732,0.426828987,5.631596728
14/2/2020,1.583163541,0.430570843,5.653330239
15/2/2020,1.58057803,0.405578034,5.550381316
16/2/2020,1.667966784,0.422045409,5.423004684
17/2/2020,1.589613357,0.417241446,5.320276604
18/2/2020,1.461834928,0.37719446,4.902100107
19/2/2020,1.353473751,0.315265378,5.053161578
20/2/2020,1.262628446,0.297204644,4.529489214
21/2/2020,1.141094456,0.223076289,4.17774863
22/2/2020,0.941434161,0.144379679,3.417567568
23/2/2020,0.713456979,0.13222851,2.800223463
24/2/2020,0.555404084,0.102911986,2.294735386
25/2/2020,0.417108154,0.088305157,1.502342011
26/2/2020,0.314312936,0.072259763,1.068044659
27/2/2020,0.242798596,0.054384482,0.833621242
28/2/2020,0.258238286,0.054143696,0.888562834
29/2/2020,0.258007858,0.056406394,0.902654267
1/3/2020,0.287839616,0.051992281,1.087453623
2/3/2020,0.307178057,0.057337555,1.150032298
3/3/2020,0.345110477,0.078375067,1.191865276
4/3/2020,0.39709997,0.086271758,1.246068975
5/3/2020,0.427923501,0.108383311,1.187981649
6/3/2020,0.467601514,0.112656312,1.169346567
7/3/2020,0.464124487,0.118578074,1.113564345
8/3/2020,0.492115722,0.155008792,1.033613583
9/3/2020,0.505800239,0.150811456,1.03911547
10/3/2020,0.521279612,0.191370699,1.003293544
11/3/2020,0.546138158,0.198130977,0.916361893
12/3/2020,0.550883957,0.210465225,0.925220877
13/3/2020,0.554922182,0.248552833,0.892703834
14/3/2020,0.534991058,0.281585506,0.87675387
15/3/2020,0.513632106,0.288855908,0.835999364
16/3/2020,0.482345461,0.279578857,0.749528817
17/3/2020,0.440408818,0.264235392,0.665745764
18/3/2020,0.393809549,0.237884241,0.604552875
19/3/2020,0.344233599,0.210528039,0.534966626
20/3/2020,0.305482619,0.186408884,0.470441027
21/3/2020,0.271803661,0.168467527,0.423896615
22/3/2020,0.23833521,0.154876704,0.38123101
23/3/2020,0.212562122,0.143848536,0.342703727
24/3/2020,0.191900206,0.1213378,0.300475147
25/3/2020,0.166664713,0.10632719,0.264781448
26/3/2020,0.140521287,0.084819901,0.233484599
27/3/2020,0.122047956,0.071256855,0.205554157
28/3/2020,0.10388355,0.055912197,0.176787754
29/3/2020,0.084966609,0.044889271,0.150821944
30/3/2020,0.071129734,0.036521924,0.119815919
31/3/2020,0.061812609,0.030390861,0.108349053
1/4/2020,0.05230726,0.027968879,0.094569757
2/4/2020,0.048619782,0.02318527,0.085235751
3/4/2020,0.044559915,0.020053424,0.082198022
4/4/2020,0.040034892,0.016238384,0.075938136
5/4/2020,0.03499639,0.014246773,0.06841414
6/4/2020,0.03131657,0.012367472,0.061943263
7/4/2020,0.027877609,0.009870331,0.056391418
8/4/2020,0.025612217,0.00959774,0.052758241
9/4/2020,0.022690483,0.007718212,0.047001905
10/4/2020,0.021115803,0.00573017,0.041242784
11/4/2020,0.018123878,0.003635793,0.040875983
12/4/2020,0.016941133,0.002921381,0.040255376
13/4/2020,0.015541865,0.003291089,0.040748033
14/4/2020,0.015186464,0.003552524,0.041747225
15/4/2020,0.016257633,0.003681708,0.047690062
16/4/2020,0.015431274,0.004475874,0.052882774
17/4/2020,0.017858772,0.005143845,0.062282181
18/4/2020,0.019550602,0.005948572,0.059055515
19/4/2020,0.023190899,0.007035564,0.081377437
20/4/2020,0.026455033,0.008538335,0.102675651
21/4/2020,0.029986142,0.009500395,0.117259511
22/4/2020,0.030435194,0.011679136,0.132211362
23/4/2020,0.033771211,0.013667128,0.150700018
24/4/2020,0.038743283,0.016562518,0.184322692
25/4/2020,0.045828846,0.020129727,0.209499958
26/4/2020,0.049759119,0.023021555,0.254816204
27/4/2020,0.063689981,0.027772765,0.325849971
28/4/2020,0.075649113,0.03041467,0.405119406
29/4/2020,0.087214682,0.036359213,0.487985105
30/4/2020,0.097199827,0.039544388,0.540167486
1/5/2020,0.102823026,0.03868938,0.525435189
2/5/2020,0.111745531,0.045133279,0.533275924
3/5/2020,0.105310496,0.047396724,0.511964866
